title,SQL,HTML,CSS,FastAPI,RESTful,Scratch,Django,Git,MongoDB,Docker,JavaScript,jQuery,ORM,Redis
"Computer Vision Python Engineer, вакансія від 14 червня 2024",False,False,False,False,False,False,False,False,False,False,False,False,False,False
"Python developer (Trainee, Junior), вакансія від 14 червня 2024",True,False,False,False,False,False,True,True,False,False,False,False,False,False
"Python-програміст, вакансія від 13 червня 2024",True,True,True,True,False,False,False,True,False,True,False,False,False,False
"Викладач програмування з Python, Minecraft в онлайн-школу, вакансія від 11 червня 2024",False,False,False,False,False,True,False,False,False,False,False,False,False,False
"IT-спеціаліст з програмування (C++, Python, OpenCV), вакансія від 11 червня 2024",False,False,False,False,False,False,False,False,False,False,False,False,False,False
"Office manager assistant (Polish), вакансія від 10 червня 2024",False,False,False,False,False,False,False,False,False,False,False,False,True,False
"Middle python developer, вакансія від 10 червня 2024",True,False,False,True,True,False,False,False,False,False,False,False,False,False
"Python-програміст (LLMs-Langchain), вакансія від 10 червня 2024",False,False,False,False,False,False,False,False,False,False,False,False,True,False
"Викладач програмування у дитячу школу (Scratch, комп'ютерна грамотність, Python), вакансія від 10 червня 2024",False,False,False,False,False,True,False,False,False,False,False,False,False,False
"Викладач програмування у дитячу школу (Scratch, комп'ютерна грамотність, Python), вакансія від 10 червня 2024",False,False,False,False,False,True,False,False,False,False,False,False,False,False
